日期,日度加权情绪总和,帖子数,情绪均值,指数1_强度*热度,归一化情绪因子,情绪拟合值
2022-12-17,12.552902086660628,3,4.184300695553543,5.800672459475913,0.3250812795120819,0.08523999608534706
2022-12-18,-16.03413233204771,4,-4.008533083011928,-6.4514851170457455,-0.2890849300596204,0.0813407410297465
2022-12-19,-3.555315371569556,3,-1.185105123856519,-1.6429045505365814,-0.0483572866439427,0.056374919651044506
2022-12-20,-6.030854300961051,14,-0.4307753072115036,-1.1665611573239787,-0.023707289542369,0.03223105485944103
2022-12-21,-31.37336130443539,21,-1.493969585925495,-4.617923414121849,-0.1998299505718458,0.022157607510044926
2022-12-22,28.23259078881584,27,1.0456515106968831,3.484324680015669,0.2139328541663865,0.03829487868268093
2022-12-23,-22.76790543540601,18,-1.264883635300334,-3.724372679888051,-0.1549938083416086,0.016717791677573802
2022-12-24,-10.026759739155274,1,-10.026759739155274,-6.950020243347451,-0.3125786052414125,0.045544021652472746
2022-12-26,-20.8717217315437,6,-3.478620288590617,-6.769082524278204,-0.3040941794889366,0.04263572003647845
2022-12-27,53.43640491145282,7,7.633772130207546,15.873982887271342,0.6958969082660081,0.03388469041003723
2022-12-28,-27.200303560220583,20,-1.3600151780110292,-4.140596725098994,-0.1759703216017924,0.0646997630777219
2022-12-29,29.402438822605315,13,2.261726063277332,5.968824744873907,0.3328516275000054,0.08187168808450691
2022-12-30,-13.22907936129566,1,-13.22907936129566,-9.169699060685849,-0.4123344749078893,0.10228789832435323
2022-12-31,-2.174029822983365,1,-2.174029822983365,-1.5069226422541564,-0.0413251341877436,0.10204150379906779
2023-01-01,15.667165060954492,3,5.222388353651497,7.239767526245259,0.3900761533135297,0.11700998071233584
2023-01-02,-0.6222410143851265,2,-0.3111205071925632,-0.341800812458405,0.0190236435110719,0.14049076077081496
2023-01-03,45.45567317123208,13,3.496590243940929,9.227702111933514,0.4737551889845793,0.17953553174878206
2023-01-04,9.343753386383398,16,0.5839845866489624,1.6545529236169938,0.1218648704278638,0.18733800138821113
2023-01-05,-20.644097541493544,3,-6.881365847164514,-9.539598670727164,-0.4281165111416223,0.18178420380288055
2023-01-06,21.1565323845576,4,5.2891330961394,8.512531328836706,0.4445139147009861,0.1900718536846978
2023-01-07,12.130382646651691,3,4.04346088221723,5.605427020426605,0.3160036212318243,0.2221636064487034
2023-01-08,11.518207220750844,1,11.518207220750844,7.98381286016865,0.4222647346049072,0.2492841535419365
2023-01-09,24.868680036449447,26,0.956487693709594,3.1524274028075374,0.1974626511408162,0.24574599104489153
2023-01-10,-0.7037907227708398,22,-0.0319904873986745,-0.1003059882032983,0.0315293339197384,0.24311238123418413
2023-01-11,-5.150762817578096,5,-1.0301525635156192,-1.845785610428666,-0.0588399373008776,0.23145470036347712
2023-01-12,1.7668468764778638,6,0.2944744794129773,0.5730208781274924,0.0663328882216182,0.26976972794051507
2023-01-13,85.51515660746841,15,5.701010440497894,15.80655725269571,0.6940906333124048,0.2978891525337022
2023-01-14,86.28174305216801,9,9.586860339129778,22.07456170549607,0.8276418234283817,0.2897572815678262
2023-01-15,63.908760822830445,13,4.916058524833111,12.973760282778397,0.6100591424131547,0.2754193015392035
2023-01-16,104.1086183854216,33,3.154806617740048,11.124985519596336,0.5463864055634622,0.2568414869473984
2023-01-17,-27.04979646846256,6,-4.508299411410427,-8.772745579643644,-0.3951186482919973,0.25705772741675775
2023-01-18,49.03749566884624,8,6.12968695860578,13.468298836825925,0.6258968827911678,0.27279389636551715
2023-01-19,17.90562788669837,15,1.1937085257798912,3.309662796218801,0.2052798808289811,0.2584343848036477
2023-01-20,102.48498166427854,25,4.099399266571141,13.356238558383238,0.6223520520757424,0.22820532166600035
2023-01-21,25.332023613940084,4,6.333005903485021,10.192579800737766,0.5116036338062853,0.19318522137600455
2023-01-26,10.376835654995856,2,5.188417827497927,5.70005958403392,0.3204107794733135,0.19529845507609547
2023-01-27,-15.656085619510677,5,-3.131217123902135,-5.610387931960687,-0.2486592985688773,0.18081165640787733
2023-01-29,3.576246591587516,1,3.576246591587516,2.478865241946001,0.1637017530612109,0.16266474418803134
2023-01-30,57.78386002880387,14,4.127418573485991,11.177256697961734,0.5482835750990209,0.15081279783334137
2023-01-31,-23.970422916111872,21,-1.1414487102910416,-3.5282664218407067,-0.145060734182705,0.12781386199678668
2023-02-01,47.93222268990454,22,2.178737394995661,6.831418500037438,0.3719893005430048,0.1190119655177294
2023-02-02,-42.39230203540263,15,-2.826153469026842,-7.835761235542656,-0.3533777739492076,0.09407118497870438
2023-02-03,-1.3955198569852982,2,-0.6977599284926491,-0.7665676319822059,-0.0029847428166878,0.08421527307602636
2023-02-04,-4.697359398723584,7,-0.6710513426747976,-1.3954120385580049,-0.0355553997372565,0.059413315292481374
2023-02-05,11.28903342788233,4,2.8222583569705826,4.542249598392428,0.2655862480974431,0.029286876301147576
2023-02-06,-41.6576100524667,17,-2.4504476501451,-7.082704682182419,-0.3187689132685728,0.015856833218420525
2023-02-07,-32.796033709901394,8,-4.099504213737674,-9.007531413317812,-0.4053358577354768,0.02910484747869828
2023-02-08,-6.193275189626891,12,-0.516106265802241,-1.323786434851331,-0.0318481032173498,0.018967138253375447
2023-02-09,5.600260204526709,14,0.4000185860376221,1.0832704123638042,0.0926046097651803,0.023013373244085044
2023-02-10,50.10725565065779,10,5.010725565065779,12.015195145761176,0.5779269143906058,0.025937321451246702
2023-02-11,-26.57503928654107,3,-8.858346428847023,-12.280275703157148,-0.5367687363502,0.022545476148557387
2023-02-12,-34.12641499078997,4,-8.531603747697492,-13.731086525409198,-0.5881179598770411,0.005110970835638162
2023-02-13,-12.276657222094116,16,-0.7672910763808823,-2.173899316377573,-0.0757648017384751,0.02236912006533824
2023-02-14,43.2396589480926,24,1.801652456170525,5.799295535981718,0.3250174683050662,0.04076452746964484
2023-02-15,35.499295381637566,7,5.071327911662509,10.54552993099147,0.5249792584386284,0.044222322015429485
2023-02-16,-38.99868010604641,14,-2.7856200075747437,-7.543598821707123,-0.3400587188987312,0.045386210115193476
2023-02-17,-84.09233874241767,18,-4.671796596800982,-13.755820002357932,-0.58895567508672,0.028810300241422296
2023-02-18,-3.450798457829272,4,-0.862699614457318,-1.3884614665498891,-0.0351956837028503,0.030129959542995854
2023-02-19,13.556130711178396,5,2.711226142235679,4.857865113569427,0.2807202268625478,0.010071007442938314
2023-02-20,36.24037691239347,12,3.0200314093661227,7.746227622967296,0.4120963159985705,0.0341419305194668
2023-02-21,14.207320961885385,11,1.2915746328986712,3.209442393987404,0.2003002096410926,0.05214053833733908
2023-02-22,-17.55808123161234,21,-0.8360991062672544,-2.5844178326870293,-0.0968778473273205,0.06738574587910809
2023-02-23,54.75838735582558,13,4.212183642755814,11.116194116100232,0.5460667711989897,0.042638232235159806
2023-02-24,-40.54292473799629,9,-4.5047694153329205,-10.372614903121086,-0.4627096983476894,0.020915901342515218
2023-02-25,6.059560982362913,4,1.5148902455907285,2.438121794430323,0.1616463679201835,0.02189686957430043
2023-02-26,3.592115643043972,3,1.1973718810146572,1.6599098868141358,0.1221383273645308,0.01196844031383833
